ImageScale,1,2,4,8,16,32,64,128,256,512,1024
0,4.087616,2.054496,1.030368,0.514272,0.26672,0.143744,0.148704,0.142688,0.1368,0.1424,0.156064
1,16.320192,8.23296,4.138272,2.057376,1.067328,0.546784,0.516896,0.517408,0.51792,0.551584,0.58208
2,36.720127,18.516577,9.267744,4.613632,2.38208,1.219648,1.15344,1.15312,1.154688,1.21344,1.294048
3,65.274719,32.91827,16.593376,8.248256,4.244384,2.16736,2.047392,2.045888,2.047552,2.145408,2.293536
4,99.708572,51.371586,25.789248,12.972448,6.61712,3.378144,3.190144,3.192352,3.193408,3.33808,3.575744
5,143.522079,74.046051,37.204895,18.54464,9.519776,4.859136,4.583424,4.58656,4.587616,4.81248,5.150368
6,195.427872,100.755363,50.628414,25.286079,12.98592,6.630272,6.237696,6.245056,6.24416,6.570656,7.008352
7,255.108505,128.619354,66.038368,32.996834,16.886017,8.62208,8.14736,8.14592,8.151264,8.539712,9.144832
8,323.099915,162.802429,83.481598,41.643616,21.387232,10.913376,10.30448,10.304928,10.311136,10.800512,11.557984
9,398.870422,201.037949,102.969955,51.532127,26.417824,13.460768,12.720416,12.719488,12.73744,13.320032,14.267904
